market,symbol,unix,open,high,low,close,volume
USDM,BTC/USDT,1667970300000,18259.3,18265.4,18190.2,18190.2,2690.721
USDM,BTC/USDT,1667970600000,18190.2,18225.2,18163.0,18217.3,2832.013
USDM,BTC/USDT,1667970900000,18217.3,18266.0,18216.2,18241.9,1942.979
USDM,BTC/USDT,1667971200000,18241.9,18256.9,18204.9,18207.8,1889.513
USDM,BTC/USDT,1667971500000,18207.8,18413.4,18207.7,18396.3,5470.38
USDM,BTC/USDT,1667971800000,18396.4,18404.0,18318.0,18375.1,4193.854
USDM,BTC/USDT,1667972100000,18375.1,18400.0,18362.2,18390.9,2299.222
USDM,BTC/USDT,1667972400000,18390.9,18455.7,18383.4,18437.5,3580.328
USDM,BTC/USDT,1667972700000,18437.6,18498.5,18435.2,18445.9,4003.128
USDM,BTC/USDT,1667973000000,18445.9,18458.9,18381.3,18391.5,3109.396
USDM,BTC/USDT,1667973300000,18391.5,18402.2,18361.7,18386.2,2308.847
USDM,BTC/USDT,1667973600000,18386.2,18400.0,18350.0,18388.8,1677.505
USDM,BTC/USDT,1667973900000,18388.8,18444.3,18388.8,18396.7,2274.606
USDM,BTC/USDT,1667974200000,18397.0,18403.4,18361.0,18373.7,1834.056
USDM,BTC/USDT,1667974500000,18373.8,18429.3,18354.0,18369.5,2022.376
USDM,BTC/USDT,1667974800000,18369.5,18379.3,18335.5,18367.1,1694.756
USDM,BTC/USDT,1667975100000,18367.1,18407.5,18358.0,18396.2,1151.635
USDM,BTC/USDT,1667975400000,18396.2,18404.6,18342.0,18386.0,1284.198
USDM,BTC/USDT,1667975700000,18386.0,18386.3,18343.0,18372.0,1390.6
USDM,BTC/USDT,1667976000000,18372.1,18400.0,18340.0,18392.6,1398.69
USDM,BTC/USDT,1667976300000,18392.6,18425.6,18377.9,18418.8,1667.877
USDM,BTC/USDT,1667976600000,18418.8,18437.4,18324.0,18336.3,3488.239
USDM,BTC/USDT,1667976900000,18336.4,18351.0,18277.0,18288.8,3623.811
USDM,BTC/USDT,1667977200000,18288.8,18329.3,18287.4,18323.1,1682.473
USDM,BTC/USDT,1667977500000,18323.1,18331.1,18300.3,18317.5,1415.996
USDM,BTC/USDT,1667977800000,18317.5,18333.3,18299.7,18305.0,1402.399
USDM,BTC/USDT,1667978100000,18305.1,18310.0,18250.0,18301.7,3327.653
USDM,BTC/USDT,1667978400000,18301.7,18308.2,18268.6,18284.6,1794.379
USDM,BTC/USDT,1667978700000,18284.5,18321.6,18280.0,18306.7,1291.09
USDM,BTC/USDT,1667979000000,18306.8,18334.8,18273.9,18286.5,1338.911
USDM,BTC/USDT,1667979300000,18286.5,18291.5,18195.9,18280.5,4757.304
USDM,BTC/USDT,1667979600000,18280.5,18298.7,18240.1,18243.4,2366.166
USDM,BTC/USDT,1667979900000,18243.3,18284.2,18189.0,18217.0,3387.78
USDM,BTC/USDT,1667980200000,18217.0,18281.0,18209.6,18250.0,2228.616
USDM,BTC/USDT,1667980500000,18250.1,18272.8,18221.0,18224.9,1174.314
USDM,BTC/USDT,1667980800000,18225.0,18245.2,18153.9,18160.8,5123.946
USDM,BTC/USDT,1667981100000,18160.8,18193.0,18122.6,18127.3,5098.721
USDM,BTC/USDT,1667981400000,18127.3,18162.5,18072.6,18090.5,5703.695
USDM,BTC/USDT,1667981700000,18090.4,18167.4,18083.5,18107.5,4240.949
USDM,BTC/USDT,1667982000000,18107.5,18152.8,18040.2,18075.1,5029.326
USDM,BTC/USDT,1667982300000,18075.0,18154.0,18028.0,18129.3,5454.276
USDM,BTC/USDT,1667982600000,18129.2,18163.4,18041.1,18063.5,6279.323
USDM,BTC/USDT,1667982900000,18063.6,18129.0,18040.0,18076.4,3303.8
USDM,BTC/USDT,1667983200000,18076.3,18197.0,18068.6,18174.5,6016.483
USDM,BTC/USDT,1667983500000,18174.5,18176.6,18094.4,18124.7,2417.684
USDM,BTC/USDT,1667983800000,18124.7,18146.3,18086.0,18103.5,2319.134
USDM,BTC/USDT,1667984100000,18103.4,18149.9,18082.0,18139.3,2621.28
USDM,BTC/USDT,1667984400000,18139.3,18143.0,18090.9,18096.2,2212.017
USDM,BTC/USDT,1667984700000,18096.3,18102.7,17900.2,17906.7,12067.977
USDM,BTC/USDT,1667985000000,17906.8,17952.0,17842.3,17863.8,12655.477
USDM,BTC/USDT,1667985300000,17863.7,17909.5,17780.0,17788.9,12877.187
USDM,BTC/USDT,1667985600000,17789.0,18092.2,17788.9,18059.2,13308.591
USDM,BTC/USDT,1667985900000,18059.1,18064.7,17973.3,17981.8,5851.498
USDM,BTC/USDT,1667986200000,17981.8,18010.0,17871.6,17901.6,5996.987
USDM,BTC/USDT,1667986500000,17901.7,17971.3,17841.0,17842.4,5469.743
USDM,BTC/USDT,1667986800000,17842.5,17899.0,17780.0,17834.0,6868.895
USDM,BTC/USDT,1667987100000,17834.0,17875.0,17668.6,17731.8,12492.978
USDM,BTC/USDT,1667987400000,17731.5,17765.0,17643.0,17686.7,12349.02
USDM,BTC/USDT,1667987700000,17686.9,17759.0,17607.9,17755.1,10632.724
USDM,BTC/USDT,1667988000000,17755.0,17825.5,17700.0,17724.2,9512.6
USDM,BTC/USDT,1667988300000,17724.2,17724.2,17595.6,17642.0,9782.391
USDM,BTC/USDT,1667988600000,17642.0,17660.2,17342.2,17386.8,24034.141
USDM,BTC/USDT,1667988900000,17386.8,17492.4,17263.9,17277.4,17640.443
USDM,BTC/USDT,1667989200000,17277.4,17542.1,17229.3,17447.0,15153.766
USDM,BTC/USDT,1667989500000,17447.0,17462.0,17271.0,17388.7,12418.545
USDM,BTC/USDT,1667989800000,17388.6,17546.0,17332.0,17436.1,13777.999
USDM,BTC/USDT,1667990100000,17436.0,17718.1,17382.8,17657.7,17124.808
USDM,BTC/USDT,1667990400000,17657.7,17685.3,17581.2,17672.4,7340.713
USDM,BTC/USDT,1667990700000,17672.3,17768.0,17640.0,17688.3,9355.335
USDM,BTC/USDT,1667991000000,17688.4,17762.5,17655.9,17761.3,6072.336
USDM,BTC/USDT,1667991300000,17761.2,17818.1,17656.1,17677.0,7932.311
USDM,BTC/USDT,1667991600000,17677.0,17715.0,17562.3,17592.1,8320.837
USDM,BTC/USDT,1667991900000,17592.2,17627.4,17535.3,17589.6,5138.943
USDM,BTC/USDT,1667992200000,17589.6,17730.0,17584.0,17720.9,6382.937
USDM,BTC/USDT,1667992500000,17720.9,17763.6,17685.5,17760.9,6173.444
USDM,BTC/USDT,1667992800000,17761.0,17859.8,17755.4,17785.7,9881.73
USDM,BTC/USDT,1667993100000,17785.8,17814.8,17724.0,17739.0,4830.954
USDM,BTC/USDT,1667993400000,17739.0,17751.7,17664.4,17729.0,6003.072
USDM,BTC/USDT,1667993700000,17729.0,17733.0,17651.4,17659.8,4819.384
USDM,BTC/USDT,1667994000000,17659.8,17680.6,17608.9,17668.8,4526.13
USDM,BTC/USDT,1667994300000,17668.8,17709.9,17651.3,17684.7,3497.163
USDM,BTC/USDT,1667994600000,17684.8,17810.9,17684.6,17809.7,4830.268
USDM,BTC/USDT,1667994900000,17809.7,17839.6,17750.6,17800.4,4608.467
USDM,BTC/USDT,1667995200000,17800.3,17922.1,17773.5,17898.7,8520.991
USDM,BTC/USDT,1667995500000,17898.6,17923.7,17778.6,17878.2,7989.189
USDM,BTC/USDT,1667995800000,17878.1,17969.8,17857.7,17962.2,9318.586
USDM,BTC/USDT,1667996100000,17962.9,17965.4,17821.8,17837.0,7266.975
USDM,BTC/USDT,1667996400000,17836.9,17841.6,17652.2,17673.7,11237.978
USDM,BTC/USDT,1667996700000,17673.6,17713.2,17640.0,17674.2,6117.745
